This file contains coefficients for the current iteration of NEUVAC.
NOTE THAT THIS FILE CONTAINS COEFFICIENTS FOR THE GITM BINS.
This file was created on 2024-08-16T12:14:15
File Authors: Brandt, Daniel A. and Ridley, Aaron J.
This version of NEUVAC was created by fitting nonlinear models between F10.7 and preceding
54-day averaged F10.7 and FISM2 decomposed into 59 wavelength bands conventionally used in
the GITM and Aether models.
The file is formatted as follows:
 - First Column: Lower limit of the given wavelength bin in Angstroms.
 - Second Column: Upper limit of the given wavelength bin in Angstroms.
 - Third through Eighth colummns: Coefficients for the model.
The functional form of the model is given by:
Irr_i(t) = A_i * (F107(t) ** B_i) + C_i * (F107B(t) ** D_i) + E_i * (F107B(t) - F107(t)) + F_i
where the irradiance in bin i (Irr_i) is a function of time t, and A_i through F_i are 
coefficients for bin i, and F107(t) and F107B(t) represent values of the F10.7 and 54-day
averaged F10.7 computed with a backwards-looking window, respectively.
-----------------------------------------------------------------------------------------------
WAVES WAVEL A_i B_i C_i D_i E_i F_i
550.0 600.0 0.4629287177627817 0.9999999736213552 -0.4629284506511703 1.0000000374223208 0.4629285969243907 8.401774689233337e-06
609.76 609.76 0.4622228593410518 0.9999999547511076 -0.4622222649873481 1.0000001045476126 0.46222265772965854 -1.1749652522044891e-06
629.73 629.73 0.4581959390210096 0.9999999729252468 -0.45819575204238294 1.0000000176446033 0.458195827098903 4.467125536846998e-05
600.0 650.0 0.44723736769111067 0.9999999687020386 -0.44723698416704416 1.000000068184944 0.44723723335780735 2.3089766822563462e-07
650.0 700.0 0.4537014030883017 0.9999999892133802 -0.4537012951429882 1.00000001619375 0.45370135818164303 1.1495789926401087e-05
703.31 703.31 0.45756288135440887 0.9999999979684351 -0.45756287076816043 1.0000000002883902 0.45756287191621053 1.0247970070195469e-05
700.0 750.0 0.4645556371318506 0.9999999842512514 -0.464555463654745 1.0000000282385841 0.46455557325881475 1.121874312035309e-05
765.15 765.15 0.45873118974841676 0.9999999961709541 -0.458731161894233 1.0000000028627396 0.45873117396790636 1.0442417401484044e-05
770.41 770.41 0.45651092178666963 1.0000000026603793 -0.45651089596537064 1.0000000063646515 0.4565109081959219 1.1598385201277401e-05
789.36 789.36 0.45443476961223334 0.9999999916066498 -0.454434708070927 1.000000005789879 0.45443473301635845 1.0931484317173693e-05
750.0 800.0 0.4495633601974275 0.9999999580117772 -0.44956298974390346 1.0000000501285662 0.449563179293937 3.549072189644163e-05
800.0 850.0 0.41965744139630756 0.9999998927862471 -0.4196564404959019 1.0000001719522063 0.41965700878503825 5.737991315652165e-05
850.0 900.0 0.5368553899539111 0.9999997645238696 -0.5368533009340759 1.0000001989225622 0.5368542422511147 7.24318446060671e-05
900.0 950.0 0.43158546160566114 0.9999997507490479 -0.43158398821224314 1.0000001137731551 0.4315845059674771 6.605704945102342e-05
977.02 977.02 0.36365917744227816 0.9999998194689292 -0.3636582188246321 1.0000001021880265 0.3636586043040973 9.061885493120842e-05
950.0 1000.0 0.47232835153998604 0.9999999331630464 -0.47232789917530693 1.0000000359792118 0.47232807197294696 3.0049996122918373e-05
1025.72 1025.72 0.47193647176437326 0.9999998340542668 -0.4719354409474999 1.0000000635352637 0.47193578989734275 3.314485692235715e-05
1031.91 1031.91 0.4538601837683878 0.9999999047585345 -0.45385955513944076 1.0000000527712043 0.4538598087198308 2.8926028281893202e-05
1000.0 1050.0 0.4513259893752422 0.9999999167341909 -0.4513253716370121 1.0000000676135208 0.45132565533671554 3.9467216951715504e-05
1050.0 1100.0 0.46586645676698674 0.999999975779859 -0.4658663085674075 1.0000000047293873 0.4658663489590621 3.671261862715848e-05
1100.0 1150.0 0.4483976535752214 0.9999999620531204 -0.44839738277699503 1.0000000120751087 0.4483974835718332 4.831760876233382e-05
1150.0 1200.0 0.5366091791105384 0.9999998968015461 -0.5366081604310162 1.0000000555960376 0.5366085807554791 0.00015925928766588563
1215.67 1215.67 0.10786405054923194 0.9999693865028787 -0.10781066325525958 1.0000110255779204 0.10783141907359185 0.0036572301998542968
1200.0 1250.0 0.26182457512038876 0.999999263052518 -0.26182117829688073 1.0000003445918493 0.26182252906767556 0.00032218066956186194
1250.0 1300.0 0.4480697800119769 0.999999912829661 -0.44806907262488543 1.0000000457057456 0.44806936484558635 8.412045308459201e-05
1300.0 1350.0 0.42671063809539933 0.9999996758660044 -0.4267081976769937 1.0000001518300425 0.426709197255777 0.0002623655937075581
1350.0 1400.0 0.4960236017802703 0.9999998785622878 -0.4960224839306207 1.000000069704031 0.49602297405723644 0.00014757665084943707
1400.0 1450.0 0.4494597767695858 0.999999888804028 -0.44945881968428497 1.0000000730802026 0.44945925647369556 0.00019097740195352615
1450.0 1500.0 0.5031857872887328 0.9999998970905838 -0.5031847840669492 1.0000000726211018 0.5031852535075355 0.00029103600066665667
1500.0 1550.0 0.4348076227751863 0.9999997281975604 -0.4348052781127758 1.0000002018030185 0.43480640737742 0.00046907730440024945
1550.0 1600.0 0.49050871026052634 0.9999997172217118 -0.4905062202639844 1.000000155034604 0.4905073086572927 0.0007195342614837279
1600.0 1650.0 0.15121639242970383 0.9999988578577851 -0.1512136210149996 1.0000003783100926 0.15121461909287007 0.0010506806081218153
1650.0 1700.0 0.3827874117049537 0.9999992456842955 -0.38278312115478647 1.0000001791898048 0.38278453251166356 0.001950831544029966
