 Flux weighted photoionization cross sections. Based on Fennelly and Torr, Atomic Data and Nuclear Data Tables, 51,
   321-363, 1992. Units are 1.0E-18 cm-2. BINLO, BINHI = wavelength limits in Angstrom
   BINLO   BINHI   OP4S   OP2D   OP2P   OP2E   OP4E  O+_tot N2_AB   N2+    N2_N+  N2_ION O2_AB  O2+   O2_O+  O2_ION   N+
  950.00  960.00   0.00   0.00   0.00   0.00   0.00   0.00  11.66   0.00   0.00   0.00  26.67  20.78   0.00  20.78   0.00
  960.00  970.00   0.00   0.00   0.00   0.00   0.00   0.00  21.94   0.00   0.00   0.00  23.58  18.67   0.00  18.67   0.00
  970.00  980.00   0.00   0.00   0.00   0.00   0.00   0.00  16.44   0.00   0.00   0.00  20.34  16.04   0.00  16.04   0.00
  980.00  990.00   0.00   0.00   0.00   0.00   0.00   0.00   3.74   0.00   0.00   0.00   6.36   5.12   0.00   5.12   0.00
  990.00 1000.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  13.19   9.37   0.00   9.37   0.00
 1000.00 1010.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   3.22   2.73   0.00   2.73   0.00
 1010.00 1020.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   1.30   1.00   0.00   1.00   0.00
 1020.00 1030.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   1.63   1.02   0.00   1.02   0.00
 1030.00 1040.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   1.11   0.00   0.00   0.00   0.00
 1040.00 1050.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   1.11   0.00   0.00   0.00   0.00
