  EUV fluxes summed into user specified bins
 Bin     WL_LO    WL_HI    Ave_A    Ave_nm  Flux(ph/cm2/s)   Flux(W/m2/nm)
   66   650.00   660.00   655.00    65.50      2.159E+07      6.545E-07
   67   660.00   670.00   665.00    66.50      2.320E+07      6.927E-07
   68   670.00   680.00   675.00    67.50      7.410E+06      2.180E-07
   69   680.00   690.00   685.00    68.50      1.537E+08      4.455E-06
   70   690.00   700.00   695.00    69.50      1.127E+07      3.220E-07
   71   700.00   710.00   705.00    70.50      3.558E+08      1.002E-05
   72   710.00   720.00   715.00    71.50      6.391E+07      1.775E-06
   73   720.00   730.00   725.00    72.50      1.554E+07      4.256E-07
   74   730.00   740.00   735.00    73.50      2.010E+07      5.429E-07
   75   740.00   750.00   745.00    74.50      2.579E+07      6.875E-07
   76   750.00   760.00   755.00    75.50      8.973E+07      2.360E-06
   77   760.00   770.00   765.00    76.50      3.428E+08      8.899E-06
   78   770.00   780.00   775.00    77.50      2.872E+08      7.360E-06
   79   780.00   790.00   785.00    78.50      5.666E+08      1.433E-05
   80   790.00   800.00   795.00    79.50      5.057E+08      1.263E-05
   81   800.00   810.00   805.00    80.50      1.083E+08      2.672E-06
   82   810.00   820.00   815.00    81.50      1.393E+08      3.394E-06
   83   820.00   830.00   825.00    82.50      1.795E+08      4.321E-06
   84   830.00   840.00   835.00    83.50      8.141E+08      1.936E-05
   85   840.00   850.00   845.00    84.50      2.967E+08      6.972E-06
   86   850.00   860.00   855.00    85.50      3.741E+08      8.689E-06
   87   860.00   870.00   865.00    86.50      4.808E+08      1.104E-05
   88   870.00   880.00   875.00    87.50      6.184E+08      1.403E-05
   89   880.00   890.00   885.00    88.50      7.952E+08      1.784E-05
   90   890.00   900.00   895.00    89.50      1.024E+09      2.273E-05
   91   900.00   910.00   905.00    90.50      1.430E+09      3.137E-05
   92   910.00   920.00   915.00    91.50      3.260E+08      7.076E-06
   93   920.00   930.00   925.00    92.50      2.580E+08      5.539E-06
   94   930.00   940.00   935.00    93.50      4.198E+08      8.917E-06
   95   940.00   950.00   945.00    94.50      3.842E+08      8.074E-06
   96   950.00   960.00   955.00    95.50      4.653E+07      9.676E-07
   97   960.00   970.00   965.00    96.50      5.571E+07      1.146E-06
   98   970.00   980.00   975.00    97.50      4.821E+09      9.820E-05
   99   980.00   990.00   985.00    98.50      2.407E+08      4.853E-06
  100   990.00  1000.00   995.00    99.50      4.174E+08      8.330E-06
  101  1000.00  1010.00  1005.00   100.50      1.146E+08      2.264E-06
  102  1010.00  1020.00  1015.00   101.50      2.130E+08      4.168E-06
  103  1020.00  1030.00  1025.00   102.50      3.442E+09      6.668E-05
  104  1030.00  1040.00  1035.00   103.50      3.570E+09      6.851E-05
  105  1040.00  1050.00  1045.00   104.50      2.354E+08      4.474E-06
  106  1050.00  1060.00  1055.00   105.50      1.345E+08      2.531E-06
