   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
      82.70       0.760       0.468       0.293       0.760       1.427       1.427       0.000       1.427       0.363
      83.25       0.777       0.479       0.299       0.777       1.454       1.454       0.000       1.454       0.369
      83.42       0.783       0.482       0.301       0.783       1.462       1.462       0.000       1.462       0.371
      83.67       0.790       0.487       0.304       0.790       1.474       1.474       0.000       1.474       0.373
      84.00       0.801       0.493       0.308       0.801       1.490       1.490       0.000       1.490       0.377
      84.26       0.809       0.498       0.311       0.809       1.503       1.503       0.000       1.503       0.379
      84.50       0.816       0.503       0.313       0.816       1.515       1.515       0.000       1.515       0.382
      84.72       0.823       0.507       0.316       0.823       1.525       1.525       0.000       1.525       0.384
      84.86       0.827       0.510       0.317       0.827       1.532       1.532       0.000       1.532       0.386
      85.16       0.836       0.515       0.321       0.836       1.547       1.547       0.000       1.547       0.389
      85.50       0.847       0.522       0.325       0.847       1.563       1.563       0.000       1.563       0.392
      85.69       0.853       0.526       0.327       0.853       1.572       1.572       0.000       1.572       0.394
      85.87       0.858       0.529       0.329       0.858       1.581       1.581       0.000       1.581       0.396
      86.23       0.869       0.536       0.333       0.869       1.599       1.599       0.000       1.599       0.400
      86.40       0.874       0.539       0.335       0.874       1.607       1.607       0.000       1.607       0.402
      86.77       0.886       0.546       0.339       0.886       1.625       1.625       0.000       1.625       0.406
      86.98       0.892       0.551       0.342       0.892       1.635       1.635       0.000       1.635       0.408
      87.30       0.902       0.557       0.345       0.902       1.651       1.651       0.000       1.651       0.411
      87.61       0.912       0.563       0.349       0.912       1.666       1.666       0.000       1.666       0.415
      88.10       0.927       0.572       0.355       0.927       1.690       1.690       0.000       1.690       0.420
      88.11       0.927       0.572       0.355       0.927       1.690       1.690       0.000       1.690       0.420
      88.14       0.928       0.573       0.355       0.928       1.692       1.692       0.000       1.692       0.420
      88.42       0.937       0.578       0.358       0.937       1.705       1.705       0.000       1.705       0.423
      88.60       0.942       0.582       0.360       0.942       1.714       1.714       0.000       1.714       0.425
      88.64       0.943       0.583       0.361       0.943       1.716       1.716       0.000       1.716       0.425
      88.90       0.951       0.588       0.364       0.951       1.728       1.728       0.000       1.728       0.428
      89.14       0.959       0.592       0.366       0.959       1.740       1.740       0.000       1.740       0.431
      89.70       0.976       0.603       0.373       0.976       1.767       1.767       0.000       1.767       0.438
      90.14       0.990       0.612       0.378       0.990       1.789       1.789       0.000       1.789       0.443
      90.45       0.999       0.618       0.381       0.999       1.804       1.804       0.000       1.804       0.446
      90.71       1.007       0.623       0.384       1.007       1.816       1.816       0.000       1.816       0.450
      91.00       1.016       0.629       0.388       1.016       1.831       1.831       0.000       1.831       0.453
      91.48       1.031       0.638       0.393       1.031       1.854       1.854       0.000       1.854       0.458
      91.69       1.037       0.642       0.395       1.037       1.864       1.864       0.000       1.864       0.461
      91.81       1.041       0.644       0.397       1.041       1.870       1.870       0.000       1.870       0.462
      92.09       1.050       0.650       0.400       1.050       1.884       1.884       0.000       1.884       0.466
      92.55       1.064       0.659       0.405       1.064       1.906       1.906       0.000       1.906       0.471
      92.81       1.072       0.664       0.408       1.072       1.919       1.919       0.000       1.919       0.474
      93.61       1.097       0.679       0.417       1.097       1.957       1.957       0.000       1.957       0.483
      94.07       1.111       0.688       0.422       1.111       1.980       1.980       0.000       1.980       0.489
      94.25       1.116       0.692       0.424       1.116       1.989       1.989       0.000       1.989       0.491
      94.39       1.121       0.695       0.426       1.121       1.995       1.995       0.000       1.995       0.492
      94.81       1.133       0.703       0.431       1.133       2.016       2.016       0.000       2.016       0.497
      94.90       1.136       0.705       0.432       1.136       2.020       2.020       0.000       2.020       0.498
      95.37       1.151       0.714       0.437       1.151       2.043       2.043       0.000       2.043       0.504
      95.40       1.152       0.714       0.437       1.152       2.044       2.044       0.000       2.044       0.504
      95.51       1.155       0.717       0.438       1.155       2.050       2.050       0.000       2.050       0.505
      95.81       1.164       0.722       0.442       1.164       2.064       2.064       0.000       2.064       0.509
      96.05       1.172       0.727       0.445       1.172       2.076       2.076       0.000       2.076       0.512
      96.49       1.185       0.736       0.449       1.185       2.097       2.097       0.000       2.097       0.518
      96.83       1.196       0.742       0.453       1.196       2.114       2.114       0.000       2.114       0.522
      97.12       1.205       0.748       0.457       1.205       2.128       2.128       0.000       2.128       0.526
      97.51       1.217       0.756       0.461       1.217       2.147       2.147       0.000       2.147       0.531
      97.87       1.228       0.763       0.465       1.228       2.164       2.164       0.000       2.164       0.536
      98.12       1.235       0.768       0.468       1.235       2.177       2.177       0.000       2.177       0.539
      98.23       1.239       0.770       0.469       1.239       2.182       2.182       0.000       2.182       0.541
      98.50       1.247       0.775       0.472       1.247       2.195       2.195       0.000       2.195       0.544
      98.88       1.259       0.783       0.476       1.259       2.214       2.214       0.000       2.214       0.549
      99.44       1.276       0.794       0.482       1.276       2.241       2.241       0.000       2.241       0.556
      99.71       1.284       0.799       0.485       1.284       2.254       2.254       0.000       2.254       0.560
      99.99       1.293       0.804       0.489       1.293       2.267       2.267       0.000       2.267       0.563
     100.54       1.310       0.815       0.495       1.310       2.294       2.294       0.000       2.294       0.570
     100.96       1.323       0.824       0.499       1.323       2.315       2.315       0.000       2.315       0.576
     101.57       1.342       0.836       0.506       1.342       2.344       2.344       0.000       2.344       0.584
     102.15       1.360       0.847       0.513       1.360       2.372       2.372       0.000       2.372       0.591
     103.01       1.386       0.864       0.522       1.386       2.414       2.414       0.000       2.414       0.602
     103.15       1.390       0.867       0.524       1.390       2.421       2.421       0.000       2.421       0.604
     103.17       1.391       0.867       0.524       1.391       2.422       2.422       0.000       2.422       0.604
     103.30       1.395       0.870       0.525       1.395       2.428       2.428       0.000       2.428       0.606
