   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
     707.90      25.762      19.060       0.000      19.060      26.400      22.704       0.000      22.704      12.947
     708.00      25.761      19.000       0.000      19.000      26.330      22.618       0.000      22.618      12.940
     708.90      25.751      18.190       0.000      18.190      25.700      21.853       0.000      21.853      12.877
     709.00      25.750      18.100       0.000      18.100      25.975      22.062       0.000      22.062      12.870
     709.20      25.748      18.040       0.000      18.040      26.525      22.478       0.000      22.478      12.856
     709.30      25.747      18.010       0.000      18.010      26.800      22.685       0.000      22.685      12.849
     709.70      25.742      17.890       0.000      17.890      25.700      21.654       0.000      21.654      12.821
     710.00      25.739      17.800       0.000      17.800      29.392      24.680       0.000      24.680      12.800
     710.80      25.730      17.960       0.000      17.960      39.238      32.644       0.000      32.644      12.744
     711.00      25.728      18.000       0.000      18.000      41.700      34.611       0.000      34.611      12.730
     711.90      25.718      18.000       0.000      18.000      32.400      25.596       0.000      25.596      12.667
     712.00      25.717      18.000       0.000      18.000      32.950      26.129       0.000      26.129      12.660
     712.50      25.711      17.300       0.000      17.300      35.700      28.845       0.000      28.845      12.625
     712.70      25.709      17.020       0.000      17.020      36.800      29.955       0.000      29.955      12.611
     712.90      25.707      16.740       0.000      16.740      37.900      31.078       0.000      31.078      12.597
     713.00      25.706      16.600       0.000      16.600      37.464      30.754       0.000      30.754      12.590
     713.50      25.700      15.400       0.000      15.400      35.282      29.124       0.000      29.124      12.555
     713.90      25.700      14.440       0.000      14.440      33.536      27.805       0.000      27.805      12.527
     714.00      25.300      14.200       0.000      14.200      33.100      27.473       0.000      27.473      12.520
     714.10      24.625      13.230       0.000      13.230      33.371      27.746       0.000      27.746      12.513
     714.70      20.575       7.410       0.000       7.410      35.000      29.400       0.000      29.400      12.471
     715.00      18.550       4.500       0.000       4.500      33.615      28.004       0.000      28.004      12.450
     715.60      14.500       3.600       0.000       3.600      30.846      25.270       0.000      25.270      12.408
     715.70      14.940       3.450       0.000       3.450      30.385      24.822       0.000      24.822      12.401
     716.00      16.260       3.000       0.000       3.000      29.000      23.490       0.000      23.490      12.380
     716.50      18.460       6.750       0.000       6.750      30.500      25.010       0.000      25.010      12.345
     717.00      20.660      10.500       0.000      10.500      28.357      21.430       0.000      21.430      12.310
     717.20      21.540      10.600       0.000      10.600      27.500      20.075       0.000      20.075      12.296
     717.60      23.300      10.800       0.000      10.800      29.800      25.926       0.000      25.926      12.268
     718.00      25.060      11.000       0.000      11.000      28.711      24.749       0.000      24.749      12.240
     718.10      25.500      12.310       0.000      12.310      28.439      24.457       0.000      24.457      12.233
     718.50      23.200      17.550       0.000      17.550      27.350      23.016       0.000      23.016      12.205
     719.00      27.400      24.100       0.000      24.100      25.989      21.271       0.000      21.271      12.170
     719.20      27.053      22.080       0.000      22.080      25.444      20.590       0.000      20.590      12.156
     719.40      26.705      20.060       0.000      20.060      24.900      19.920       0.000      19.920      12.142
     720.00      25.663      14.000       0.000      14.000      30.480      24.673       0.000      24.673      12.100
     720.40      24.968      13.480       0.000      13.480      34.200      27.900       0.000      27.900      12.090
     720.90      24.100      12.830       0.000      12.830      30.089      24.784       0.000      24.784      12.077
     721.00      24.776      12.700       0.000      12.700      29.267      24.153       0.000      24.153      12.075
     721.30      26.805      21.174       0.000      21.174      26.800      22.244       0.000      22.244      12.068
     721.40      27.481      24.000       0.000      24.000      26.940      22.468       0.000      22.468      12.065
     721.80      30.186      18.534       0.000      18.534      27.500      23.375       0.000      23.375      12.055
     722.00      31.538      15.800       0.000      15.800      27.050      22.654       0.000      22.654      12.050
     722.50      34.919      25.700       0.000      25.700      25.925      20.902       0.000      20.902      12.038
     722.60      35.595      27.680       0.000      27.680      25.700      20.560       0.000      20.560      12.035
     722.90      37.624      33.620       0.000      33.620      26.000      19.500       0.000      19.500      12.028
     723.00      38.300      35.600       0.000      35.600      25.860      19.860       0.000      19.860      12.025
     723.40      69.300      34.600       0.000      34.600      25.300      21.252       0.000      21.252      12.015
     723.50      67.342      34.350       0.000      34.350      25.575      21.483       0.000      21.483      12.013
     723.90      59.506      33.350       0.000      33.350      26.675      22.407       0.000      22.407      12.002
     724.00      57.547      33.100       0.000      33.100      26.950      22.638       0.000      22.638      12.000
     724.20      53.629      31.000       0.000      31.000      27.500      23.100       0.000      23.100      11.995
     724.80      41.876      24.700       0.000      24.700      25.850      21.908       0.000      21.908      11.980
     724.90      39.917      23.650       0.000      23.650      25.575      21.707       0.000      21.707      11.977
     725.00      37.958      22.600       0.000      22.600      25.300      21.505       0.000      21.505      11.975
     725.10      36.000      21.910       0.000      21.910      27.000      22.988       0.000      22.988      11.973
     725.50      30.600      19.150       0.000      19.150      33.800      28.971       0.000      28.971      11.963
     725.70      30.057      17.770       0.000      17.770      37.200      31.992       0.000      31.992      11.958
     726.00      29.243      15.700       0.000      15.700      42.300      36.559       0.000      36.559      11.950
     726.40      28.157      16.100       0.000      16.100      49.100      42.717       0.000      42.717      11.940
     727.00      26.529      16.700       0.000      16.700      36.433      31.697       0.000      31.697      11.925
     727.30      25.714      13.820       0.000      13.820      30.100      26.187       0.000      26.187      11.918
     727.50      25.171      11.900       0.000      11.900      30.180      26.399       0.000      26.399      11.913
     727.60      24.900      10.940       0.000      10.940      30.220      26.505       0.000      26.505      11.910
     728.00      24.173       7.100       0.000       7.100      30.380      26.931       0.000      26.931      11.900
     728.30      23.627       6.860       0.000       6.860      30.500      27.253       0.000      27.253      11.893
     728.70      22.900       6.540       0.000       6.540      29.014      26.198       0.000      26.198      11.882
     729.00      22.941       6.300       0.000       6.300      27.900      25.389       0.000      25.389      11.875
     729.40      22.995      10.540       0.000      10.540      29.800      25.032       0.000      25.032      11.865
     729.80      23.050      14.780       0.000      14.780      29.000      26.100       0.000      26.100      11.855
     730.00      23.077      16.900       0.000      16.900      29.969      26.809       0.000      26.809      11.850
     730.60      23.159      14.020       0.000      14.020      32.877      28.872       0.000      28.872      11.835
     730.90      23.200      12.580       0.000      12.580      34.331      29.868       0.000      29.868      11.827
     731.00      23.113      12.100       0.000      12.100      34.815      30.377       0.000      30.377      11.825
     731.10      23.026      11.488       0.000      11.488      35.300      30.887       0.000      30.887      11.823
     731.50      22.677       9.040       0.000       9.040      33.186      29.369       0.000      29.369      11.813
     731.80      22.416      11.476       0.000      11.476      31.600      28.203       0.000      28.203      11.805
     731.82      22.399      11.638       0.000      11.638      32.163      28.722       0.000      28.722      11.805
     732.00      22.242      13.100       0.000      13.100      37.229      33.413       0.000      33.413      11.800
     732.20      22.068      12.240       0.000      12.240      42.858      38.679       0.000      38.679      11.795
     732.50      21.806      10.950       0.000      10.950      51.300      46.683       0.000      46.683      11.788
     733.00      21.371       8.800       0.000       8.800      39.675      36.352       0.000      36.352      11.775
     733.30      21.110       9.220       0.000       9.220      32.700      30.084       0.000      30.084      11.768
     734.00      20.500      10.200       0.000      10.200      33.610      30.215       0.000      30.215      11.750
     734.50      30.500      15.100       0.000      15.100      34.260      30.286       0.000      30.286      11.738
     735.00      25.000      11.300       0.000      11.300      34.910      30.337       0.000      30.337      11.725
     735.30      23.650      10.550       0.000      10.550      35.300      30.358       0.000      30.358      11.718
     735.90      20.950       9.050       0.000       9.050      34.384      31.977       0.000      31.977      11.702
     736.00      20.500       8.800       0.000       8.800      34.232      31.783       0.000      31.783      11.700
     736.50      31.800      14.800       0.000      14.800      33.468      30.817       0.000      30.817      11.688
     736.60      30.720      13.680       0.000      13.680      33.316      30.625       0.000      30.625      11.685
     737.00      26.400       9.200       0.000       9.200      32.705      29.862       0.000      29.862      11.675
     737.20      24.040      11.960       0.000      11.960      32.400      29.484       0.000      29.484      11.670
     737.50      20.500      16.100       0.000      16.100      34.200      30.096       0.000      30.096      11.663
     737.60      20.040      17.620       0.000      17.620      33.683      29.623       0.000      29.623      11.660
     738.00      18.200      23.700       0.000      23.700      31.617      27.735       0.000      27.735      11.650
     738.40      21.840      18.180       0.000      18.180      29.550      25.856       0.000      25.856      11.640
     739.00      27.300       9.900       0.000       9.900      26.450      23.056       0.000      23.056      11.625
     739.20      26.560       9.920       0.000       9.920      25.417      22.127       0.000      22.127      11.620
     739.30      26.190       9.930       0.000       9.930      24.900      21.663       0.000      21.663      11.618
     740.00      23.600      10.000       0.000      10.000      25.700      19.532       0.000      19.532      11.600
     740.20      22.340       9.500       0.000       9.500      24.767      19.979       0.000      19.979      11.598
     740.30      21.710       9.250       0.000       9.250      24.300      20.169       0.000      20.169      11.597
     741.00      17.300       7.500       0.000       7.500      21.033      17.294       0.000      17.294      11.590
     741.10      17.390       7.760       0.000       7.760      20.567      16.888       0.000      16.888      11.589
     741.20      17.480       8.020       0.000       8.020      20.100      16.482       0.000      16.482      11.588
     742.00      18.200      10.100       0.000      10.100      21.300      17.125       0.000      17.125      11.580
     742.20      17.200       9.240       0.000       9.240      21.600      17.280       0.000      17.280      11.578
     742.40      16.200       8.380       0.000       8.380      20.860      16.646       0.000      16.646      11.576
     743.00      13.200       5.800       0.000       5.800      18.640      14.763       0.000      14.763      11.570
     743.20      17.920       8.720       0.000       8.720      17.900      14.141       0.000      14.141      11.568
     743.30      20.280      10.180       0.000      10.180      18.044      14.616       0.000      14.616      11.567
     743.50      25.000      13.100       0.000      13.100      18.333      15.583       0.000      15.583      11.565
     743.70      27.720      11.420       0.000      11.420      18.622      16.574       0.000      16.574      11.563
     744.00      31.800       8.900       0.000       8.900      19.056      16.300       0.000      16.300      11.560
     744.10      34.719      10.640       0.000      10.640      19.200      16.202       0.000      16.202      11.559
     744.50      46.400      17.600       0.000      17.600      19.778      15.777       0.000      15.777      11.555
     744.90      34.719      12.560       0.000      12.560      20.356      15.298       0.000      15.298      11.551
     745.00      31.800      11.300       0.000      11.300      20.500      15.170       0.000      15.170      11.550
     745.10      30.210      10.800       0.000      10.800      20.364      15.477       0.000      15.477      11.549
     746.00      15.900       6.300       0.000       6.300      19.143      12.826       0.000      12.826      11.540
     746.10      16.580       6.260       0.000       6.260      19.007      12.545       0.000      12.545      11.539
     746.40      18.620       6.140       0.000       6.140      18.600      11.718       0.000      11.718      11.536
     746.70      20.660       6.020       0.000       6.020      19.900      12.910       0.000      12.910      11.533
     747.00      22.700       5.900       0.000       5.900      21.200      14.151       0.000      14.151      11.530
     747.50      51.118      21.901       0.000      21.901      18.400      12.857       0.000      12.857      11.525
     747.60      56.800      25.100       0.000      25.100      17.840      12.577       0.000      12.577      11.524
     748.00      38.600      11.300       0.000      11.300      15.600      11.388       0.000      11.388      11.520
     748.50      28.600       8.850       0.000       8.850      17.650      12.737       0.000      12.737      11.515
     749.00      18.600       6.400       0.000       6.400      19.700      14.053       0.000      14.053      11.510
     749.20      21.520       7.120       0.000       7.120      20.520      14.569       0.000      14.569      11.508
     750.00      33.200      10.000       0.000      10.000      23.800      16.581       0.000      16.581      11.500
     750.01      33.095       9.941       0.000       9.941      23.737      16.533       0.000      16.533      11.500
     750.70      25.850       5.870       0.000       5.870      19.390      13.282       0.000      13.282      11.493
     751.00      22.700       4.100       0.000       4.100      17.500      11.900       0.000      11.900      11.490
     751.60      20.000       4.760       0.000       4.760      19.000      12.740       0.000      12.740      11.484
     752.00      18.200       5.200       0.000       5.200      17.738      11.782       0.000      11.782      11.480
     752.30      16.820       4.990       0.000       4.990      16.792      11.074       0.000      11.074      11.477
     752.90      14.060       4.570       0.000       4.570      14.900       9.685       0.000       9.685      11.471
     753.00      13.600       4.500       0.000       4.500      15.305       9.926       0.000       9.926      11.470
     754.00      27.300      13.800       0.000      13.800      19.352      12.275       0.000      12.275      11.460
     754.40      61.942      46.122       0.000      46.122      20.971      13.182       0.000      13.182      11.456
     754.50      70.600      54.200       0.000      54.200      21.376      13.406       0.000      13.406      11.455
     755.00      30.000      28.500       0.000      28.500      23.400      14.508       0.000      14.508      11.450
     755.20      44.000      24.740       0.000      24.740      22.520      13.602       0.000      13.602      11.448
     755.50      25.000      19.100       0.000      19.100      21.200      12.296       0.000      12.296      11.445
     755.80      22.000      16.220       0.000      16.220      19.880      11.053       0.000      11.053      11.442
     756.00      20.000      14.300       0.000      14.300      19.000      10.260       0.000      10.260      11.440
     756.20      17.000      12.220       0.000      12.220      19.300      10.480       0.000      10.480      11.438
     756.50      12.500       9.100       0.000       9.100      19.000      10.403       0.000      10.403      11.435
     757.00      50.000      24.200       0.000      24.200      18.500      10.268       0.000      10.268      11.430
     757.20      69.200      20.240       0.000      20.240      18.300      10.211       0.000      10.211      11.428
     757.50      42.681      14.300       0.000      14.300      18.000      10.125       0.000      10.125      11.425
     757.70      25.000      12.700       0.000      12.700      17.800      10.066       0.000      10.066      11.423
     758.00      16.800      10.300       0.000      10.300      17.500       9.975       0.000       9.975      11.420
     758.30      66.700      37.600       0.000      37.600      18.850      10.744       0.000      10.744      11.417
     758.40      62.849      32.198       0.000      32.198      19.300      11.001       0.000      11.001      11.416
     758.50      59.000      26.800       0.000      26.800      19.080      10.876       0.000      10.876      11.415
     758.68      27.863      19.151       0.000      19.151      18.684      10.650       0.000      10.650      11.413
     758.70      24.400      18.300       0.000      18.300      18.640      10.625       0.000      10.625      11.413
     759.00      19.043      14.500       0.000      14.500      17.980      10.326       0.000      10.326      11.410
     759.40      11.900      10.200       0.000      10.200      17.100       9.918       0.000       9.918      11.406
     759.44      12.695      10.360       0.000      10.360      17.226       9.914       0.000       9.914      11.406
     759.50      13.887      10.600       0.000      10.600      17.415       9.905       0.000       9.905      11.405
     760.00      23.825      12.300       0.000      12.300      18.992       9.734       0.000       9.734      11.400
     760.20      27.800      15.800       0.000      15.800      19.623       9.615       0.000       9.615      11.397
     760.22      27.800      15.547       0.000      15.547      19.686       9.646       0.000       9.646      11.397
     760.30      27.800      14.534       0.000      14.534      19.938       9.770       0.000       9.770      11.396
     760.40      27.800      13.266       0.000      13.266      20.254       9.924       0.000       9.924      11.394
     760.50      30.833      12.000       0.000      12.000      20.569      10.764       0.000      10.764      11.392
     760.70      36.900      17.000       0.000      17.000      21.200      12.508       0.000      12.508      11.389
     761.00      46.000      24.500       0.000      24.500      20.488      10.858       0.000      10.858      11.385
     761.10      47.999      23.360       0.000      23.360      20.250      10.328       0.000      10.328      11.384
     761.13      48.600      23.018       0.000      23.018      20.179      10.284       0.000      10.284      11.383
     761.20      50.000      22.220       0.000      22.220      20.012      10.184       0.000      10.184      11.382
     761.50      48.000      18.800       0.000      18.800      19.300       9.757       0.000       9.757      11.377
     762.00      36.400      11.700       0.000      11.700      19.633       9.817       0.000       9.817      11.370
     762.00      36.400      11.700       0.000      11.700      19.633       9.817       0.000       9.817      11.370
     762.01      35.829      11.638       0.000      11.638      19.640       9.840       0.000       9.840      11.370
     762.10      30.702      11.080       0.000      11.080      19.700      10.047       0.000      10.047      11.368
     762.20      25.000      10.460       0.000      10.460      19.600      10.192       0.000      10.192      11.367
     762.50      17.300       8.600       0.000       8.600      19.300      10.615       0.000      10.615      11.363
     763.00      16.000      10.600       0.000      10.600      21.157      11.183       0.000      11.183      11.355
     763.20      25.001      18.734       0.000      18.734      21.900      11.388       0.000      11.388      11.352
     763.30      29.500      22.800       0.000      22.800      21.586      12.520       0.000      12.520      11.351
     763.50      25.000      21.400       0.000      21.400      20.957      12.231       0.000      12.231      11.347
     763.70      68.100      38.300       0.000      38.300      20.329      11.938       0.000      11.938      11.344
     764.00      18.200      22.200       0.000      22.200      19.386      11.490       0.000      11.490      11.340
     764.40      13.300       9.200       0.000       9.200      18.128      10.877       0.000      10.877      11.334
     764.50      14.866      11.400       0.000      11.400      17.814       9.709       0.000       9.709      11.332
     764.60      16.433      11.400       0.000      11.400      17.500       8.575       0.000       8.575      11.331
     764.70      18.000      11.400       0.000      11.400      18.100       9.050       0.000       9.050      11.329
     765.00     150.000     106.900       0.000     106.900      19.900      10.547       0.000      10.547      11.325
     765.10     130.337      70.100       0.000      70.100      20.500      11.070       0.000      11.070      11.324
     765.15     120.494      65.796       0.000      65.796      20.800      11.718       0.000      11.718      11.323
     765.30      91.000      52.900       0.000      52.900      21.700      13.743       0.000      13.743      11.321
     765.40      70.594      44.297       0.000      44.297      22.300      15.164       0.000      15.164      11.319
     765.50      50.200      35.700       0.000      35.700      22.046      14.907       0.000      14.907      11.318
     765.70      31.800      27.019       0.000      27.019      21.538      14.398       0.000      14.398      11.314
     766.00      14.500      14.000       0.000      14.000      20.777      13.649       0.000      13.649      11.310
     766.50      13.955      11.400       0.000      11.400      19.508      12.440       0.000      12.440      11.302
     766.70      13.736      10.720       0.000      10.720      19.000      11.970       0.000      11.970      11.299
     767.00      13.409       9.700       0.000       9.700      19.550      12.261       0.000      12.261      11.295
     767.10      13.300       9.820       0.000       9.820      19.733      12.357       0.000      12.357      11.293
     767.30      13.300      10.060       0.000      10.060      20.100      12.548       0.000      12.548      11.290
     767.50      13.300      10.300       0.000      10.300      19.555      12.170       0.000      12.170      11.288
     767.70      13.300      10.860       0.000      10.860      19.009      11.795       0.000      11.795      11.285
     767.90      40.900      11.420       0.000      11.420      18.464      11.421       0.000      11.421      11.281
     768.00      36.251      11.700       0.000      11.700      18.191      11.235       0.000      11.235      11.280
     768.30      22.300      14.580       0.000      14.580      17.373      10.680       0.000      10.680      11.276
     768.40      27.302      15.540       0.000      15.540      17.100      10.496       0.000      10.496      11.274
     768.50      32.300      16.500       0.000      16.500      18.025      11.047       0.000      11.047      11.273
     768.70      42.300      28.500       0.000      28.500      19.875      12.143       0.000      12.143      11.269
     768.80      36.535      24.334       0.000      24.334      20.800      12.688       0.000      12.688      11.268
     769.00      25.000      16.000       0.000      16.000      19.350      11.610       0.000      11.610      11.265
     769.20      32.700      14.720       0.000      14.720      17.900      10.561       0.000      10.561      11.262
     769.50      42.300      12.800       0.000      12.800      20.375      11.716       0.000      11.716      11.257
     769.60      39.211      12.120       0.000      12.120      21.200      12.084       0.000      12.084      11.256
     770.00      26.850       9.400       0.000       9.400      17.200       8.887       0.000       8.887      11.250
     770.20      20.670       8.960       0.000       8.960      15.200       7.448       0.000       7.448      11.247
     770.40      14.489       8.520       0.000       8.520      18.734       8.430       0.000       8.430      11.244
     770.41      14.182       8.498       0.000       8.498      18.909       8.472       0.000       8.472      11.244
     770.50      11.400       8.300       0.000       8.300      20.500       8.815       0.000       8.815      11.243
     770.80      19.560      10.160       0.000      10.160      19.700      10.441       0.000      10.441      11.238
     771.00      25.000      11.400       0.000      11.400      20.825       9.475       0.000       9.475      11.235
     771.50     141.800      51.300       0.000      51.300      23.638       6.323       0.000       6.323      11.227
     771.60     123.444      46.241       0.000      46.241      24.200       5.566       0.000       5.566      11.226
     772.00      50.000      26.000       0.000      26.000      24.000      12.240       0.000      12.240      11.220
     772.40      29.999      14.799       0.000      14.799      23.800      18.802       0.000      18.802      11.214
     772.50      25.000      12.000       0.000      12.000      24.228      18.518       0.000      18.518      11.213
     773.00      21.500      10.300       0.000      10.300      26.372      16.765       0.000      16.765      11.205
     773.10      20.800       9.900       0.000       9.900      26.800      16.348       0.000      16.348      11.204
     773.50      18.000       8.300       0.000       8.300      24.200      14.900       0.000      14.900      11.198
     774.00      14.500       8.000       0.000       8.000      20.950      13.049       0.000      13.049      11.190
     774.50      33.100      13.200       0.000      13.200      17.700      11.151       0.000      11.151      11.182
     775.00      40.900      12.500       0.000      12.500      14.450       7.899       0.000       7.899      11.175
     775.10      39.000      19.638       0.000      19.638      13.800       7.314       0.000       7.314      11.174
     775.50      31.400      48.200       0.000      48.200      15.867       8.917       0.000       8.917      11.168
     775.70     143.811     126.900       0.000     126.900      16.900       9.768       0.000       9.768      11.165
     775.80     200.000     105.704       0.000     105.704      17.417      10.206       0.000      10.206      11.163
     776.00     125.000      63.300       0.000      63.300      18.450      11.107       0.000      11.107      11.160
     776.00     125.000      63.300       0.000      63.300      18.450      11.107       0.000      11.107      11.160
     776.01     123.681      62.439       0.000      62.439      18.502      11.153       0.000      11.153      11.160
     776.50      59.100      20.300       0.000      20.300      21.033      13.504       0.000      13.504      11.153
     777.00      24.500      14.050       0.000      14.050      23.617      16.107       0.000      16.107      11.145
     777.50      20.200       7.800       0.000       7.800      26.200      18.917       0.000      18.917      11.138
     778.00      15.900       7.200       0.000       7.200      28.783      21.933       0.000      21.933      11.130
     778.10      20.442       7.660       0.000       7.660      29.300      22.561       0.000      22.561      11.129
     778.50      38.614       9.500       0.000       9.500      26.557      14.682       0.000      14.682      11.123
     778.70      47.700       9.140       0.000       9.140      25.186      11.189       0.000      11.189      11.120
     778.80      45.313       8.960       0.000       8.960      24.500       9.555       0.000       9.555      11.118
     778.80      45.313       8.960       0.000       8.960      24.500       9.555       0.000       9.555      11.118
     779.00      40.538       8.600       0.000       8.600      25.067       8.272       0.000       8.272      11.115
     779.50      28.600       8.100       0.000       8.100      26.483       8.740       0.000       8.740      11.108
     779.80      14.900       7.700       0.000       7.700      27.333       9.020       0.000       9.020      11.103
     779.90      14.700       7.350       0.000       7.350      27.617       9.114       0.000       9.114      11.101
     780.00      14.500       7.000       0.000       7.000      27.900      12.555       0.000      12.555      11.100
     780.30      25.150       8.500       0.000       8.500      25.220      11.097       0.000      11.097      11.096
     780.32      25.860       8.600       0.000       8.600      25.041      11.001       0.000      11.001      11.095
     780.50      32.250       9.500       0.000       9.500      23.433      10.154       0.000      10.154      11.093
     781.00      50.000      41.700       0.000      41.700      18.967       7.903       0.000       7.903      11.085
     781.20     118.200      70.700       0.000      70.700      17.180       7.044       0.000       7.044      11.082
     781.50      75.000      32.300       0.000      32.300      14.500       5.800       0.000       5.800      11.078
     782.00      34.000      13.400       0.000      13.400      16.750       6.939       0.000       6.939      11.070
     782.50      15.000       6.700       0.000       6.700      19.000       8.143       0.000       8.143      11.063
     782.90      17.560       7.580       0.000       7.580      20.800       9.152       0.000       9.152      11.057
     783.00      18.200       7.800       0.000       7.800      20.700       9.039       0.000       9.039      11.055
     783.20      70.923      29.961       0.000      29.961      20.500       8.815       0.000       8.815      11.052
     783.50     150.000      63.200       0.000      63.200      21.800       9.810       0.000       9.810      11.048
     783.80     234.100     125.300       0.000     125.300      23.100      10.857       0.000      10.857      11.043
     784.00     224.357      48.400       0.000      48.400      23.967      11.584       0.000      11.584      11.040
     784.40     204.870      18.798       0.000      18.798      25.700      13.107       0.000      13.107      11.034
     784.50     200.000      11.400       0.000      11.400      25.225      13.937       0.000      13.937      11.033
     784.80     155.002       8.400       0.000       8.400      23.800      16.184       0.000      16.184      11.028
     785.00     125.000       6.400       0.000       6.400      24.300      16.200       0.000      16.200      11.025
     785.50      50.000       9.700       0.000       9.700      25.550      16.182       0.000      16.182      11.017
     786.00      45.500      22.800       0.000      22.800      26.800      16.080       0.000      16.080      11.010
     786.20      56.800      18.040       0.000      18.040      23.250      11.625       0.000      11.625      11.007
     786.40      35.598      13.279       0.000      13.279      19.700       7.880       0.000       7.880      11.004
     786.47      28.183      11.615       0.000      11.615      20.050       8.043       0.000       8.043      11.003
     786.48      27.122      11.376       0.000      11.376      20.100       8.067       0.000       8.067      11.003
     786.50      25.000      10.900       0.000      10.900      20.200       8.114       0.000       8.114      11.003
     787.00      10.500       7.800       0.000       7.800      22.700       9.307       0.000       9.307      10.995
     787.50       8.479       7.300       0.000       7.300      25.200      10.542       0.000      10.542      10.988
     787.60       8.074       7.120       0.000       7.120      25.700      10.794       0.000      10.794      10.986
     787.70       7.670       6.940       0.000       6.940      25.325      10.763       0.000      10.763      10.984
     787.71       7.716       6.922       0.000       6.922      25.287      10.760       0.000      10.760      10.984
     788.00       9.038       6.400       0.000       6.400      24.200      10.648       0.000      10.648      10.980
     788.50      11.319       5.800       0.000       5.800      26.950      12.981       0.000      12.981      10.972
     788.60      11.775       6.080       0.000       6.080      27.500      13.475       0.000      13.475      10.971
     789.00      13.600       7.200       0.000       7.200      26.800      11.524       0.000      11.524      10.965
     789.50      45.500      11.300       0.000      11.300      27.550      10.882       0.000      10.882      10.958
     790.00      25.583      11.000       0.000      11.000      28.300      10.188       0.000      10.188      10.950
     790.10      21.600      10.350       0.000      10.350      27.754       9.949       0.000       9.949      10.949
     790.15      21.600      10.025       0.000      10.025      27.481       9.830       0.000       9.830      10.948
     790.20      21.600       9.700       0.000       9.700      27.208       9.711       0.000       9.711      10.947
     790.21      21.500       9.697       0.000       9.697      27.153       9.687       0.000       9.687      10.947
     790.50      18.600       9.600       0.000       9.600      25.569       9.008       0.000       9.008      10.943
     790.80     125.000     101.900       0.000     101.900      23.931       8.321       0.000       8.321      10.938
     791.00      58.100      41.000       0.000      41.000      22.838       7.870       0.000       7.870      10.935
     791.30      53.240      37.940       0.000      37.940      21.200       7.208       0.000       7.208      10.931
     791.40      51.620      36.920       0.000      36.920      21.809       7.237       0.000       7.237      10.929
     791.47      50.486      36.206       0.000      36.206      22.235       7.251       0.000       7.251      10.928
     791.50      50.000      35.900       0.000      35.900      22.418       7.255       0.000       7.255      10.928
     791.51      51.999      36.140       0.000      36.140      22.467       7.256       0.000       7.256      10.927
     791.55      62.497      37.400       0.000      37.400      22.723       7.261       0.000       7.261      10.927
     791.60      74.995      38.899       0.000      38.899      23.027       7.264       0.000       7.264      10.926
     791.80     125.000      44.900       0.000      44.900      24.245       7.252       0.000       7.252      10.923
     791.88     114.998      47.300       0.000      47.300      24.733       7.235       0.000       7.235      10.922
     791.93     108.750      48.800       0.000      48.800      25.037       7.222       0.000       7.222      10.921
     791.97     104.249      49.880       0.000      49.880      25.257       7.211       0.000       7.211      10.921
     792.00     100.000      50.900       0.000      50.900      25.464       7.199       0.000       7.199      10.920
     792.08      94.359      48.499       0.000      48.499      25.951       7.167       0.000       7.167      10.919
     792.17      88.016      45.801       0.000      45.801      26.499       7.123       0.000       7.123      10.917
     792.20      85.899      44.900       0.000      44.900      26.682       7.107       0.000       7.107      10.917
     792.23      83.713      43.969       0.000      43.969      26.871       7.089       0.000       7.089      10.917
     792.27      80.964      42.799       0.000      42.799      27.108       7.065       0.000       7.065      10.916
     792.40      71.798      38.899       0.000      38.899      27.900       6.975       0.000       6.975      10.914
     792.47      66.867      36.801       0.000      36.801      27.253       7.290       0.000       7.290      10.913
     792.50      64.750      35.900       0.000      35.900      26.975       7.418       0.000       7.418      10.913
     792.50      64.681      35.854       0.000      35.854      26.966       7.422       0.000       7.422      10.912
     792.53      62.633      34.471       0.000      34.471      26.697       7.542       0.000       7.542      10.912
     792.80      43.601      21.621       0.000      21.621      24.200       8.470       0.000       8.470      10.908
     792.92      35.141      15.909       0.000      15.909      25.086       9.151       0.000       9.151      10.906
     792.97      31.897      13.718       0.000      13.718      25.426       9.419       0.000       9.419      10.906
     793.00      29.500      12.100       0.000      12.100      25.677       9.619       0.000       9.619      10.905
     793.03      28.683      11.770       0.000      11.770      25.899       9.798       0.000       9.798      10.905
     793.14      25.692      10.560       0.000      10.560      26.711      10.467       0.000      10.467      10.903
     793.50      15.900       6.600       0.000       6.600      29.369      12.810       0.000      12.810      10.898
     794.00      25.000       6.200       0.000       6.200      33.062      16.455       0.000      16.455      10.890
     794.10      27.949       6.220       0.000       6.220      33.800      17.238       0.000      17.238      10.889
     794.50      39.750       6.300       0.000       6.300      29.044      14.284       0.000      14.284      10.883
     795.00      54.500      12.300       0.000      12.300      23.100      10.836       0.000      10.836      10.875
     795.10      50.361       6.100       0.000       6.100      23.250      10.801       0.000      10.801      10.874
     795.20      46.219       5.922       0.000       5.922      23.400      10.764       0.000      10.764      10.872
     796.00      13.100       4.500       0.000       4.500      21.900       9.443       0.000       9.443      10.860
     797.00       8.000       1.000       0.000       1.000      27.606      10.910       0.000      10.910      10.845
     797.70       8.000       0.300       0.000       0.300      31.600      11.692       0.000      11.692      10.835
     798.00       8.000       0.000       0.000       0.000      28.000       9.940       0.000       9.940      10.830
