Lamda (A)    ABS_N(megabarns)    ABS_N2(megabarns)
      53.4058     0.138990     0.277980
      54.2696     0.144935     0.289870
      55.1473     0.151134     0.302268
      56.0395     0.157599     0.315198
      56.9457     0.164141     0.328282
      57.8667     0.170941     0.341881
      58.8029     0.178022     0.356045
      59.7537     0.185396     0.370792
      60.7203     0.193076     0.386153
      61.7025     0.201074     0.402149
      62.7004     0.209404     0.418807
      63.7144     0.218078     0.436156
      64.7452     0.227112     0.454224
      65.7921     0.236519     0.473038
      66.8565     0.246318     0.492636
      67.9376     0.256520     0.513040
      69.0366     0.267147     0.534293
      70.1534     0.278214     0.556429
      71.2877     0.289737     0.579475
      72.4411     0.301741     0.603482
      73.6127     0.314240     0.628480
      74.8030     0.327256     0.654513
      76.0133     0.340814     0.681629
      77.2427     0.354171     0.708342
      78.4917     0.367370     0.734739
      79.7612     0.380910     0.761820
      81.0518     0.394952     0.789904
      82.3623     0.409509     0.819018
      83.6945     0.424596     0.849192
      85.0483     0.440243     0.880487
      86.4237     0.456473     0.912946
      87.8220     0.473295     0.946591
      89.2424     0.490734     0.981468
      90.6857     0.508819      1.01764
      92.1524     0.527576      1.05515
      93.6426     0.547027      1.09405
      95.1577     0.567188      1.13438
      96.6970     0.587562      1.17512
      98.2604     0.608575      1.21715
      99.8502     0.630352      1.26070
